13,2,GG-01-EC-MOU-0001,000406-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MOUSE,ALHAMBRICO,SCROLL ,MOUSE COLOR NEGRO,3D OPTICAL MOUSE,GENIUS,DX-110,X7D93920909226,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,9.00,0,SIN DIMENSIONES,2_bien_13.JPG,0,10-JUN-17,,,,,,,,,,,,,no,0
14,2,GG-01-EC-CPU-0006,000007-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),CPU,CLON,INTEL PENTIUM INSIDE,CPU COLOR NEGRO CON BORDES ROJOS,LG,LG,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,743.00,0,SIN DIMENSIONES,2_bien_14.JPG,0,22-FEB-17,,,,,,,,,,,,,no,0
15,1,GG-01-MO-SIG-0003,000006-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SILLA GIRATORIA ,COLOR NEGRO TAPIZADO,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,METAL,ADMINSTRACION,,0.00,0,,2_bien_15.JPG,0,,,,,,,,,,,,,,no,0
16,2,GG-01-EC-REG-0004,000009-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),REGULADOR,120V,8 TOMAS,REGULADOR COLOR NEGRO,DEPTEK,DEPTEK,DT801-800,CL2152380228,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,0.00,0,,2_bien_16.JPG,0,,,,,,,,,,,,,,no,0
17,2,,000010-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ESCRITORIO,ESCRITORIO,HORIZONTAL 4 SERVICIOS,ESCRITORIO METÁLICO Y MADERA,COLOR NEGRO Y CAFÉ,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,0.00,0,L 170CM- AN 69CM- AL,2_bien_17.JPG,0,,,,,,,,,,,,,,no,0
18,2,GG-01-MO-SIG-0006,000011-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SILLA GIRATORIA ,COLOR NEGRO TAPIZADO,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,METAL,ADMINSTRACION,,0.00,0,,2_bien_18.JPG,0,,,,,,,,,,,,,,no,0
19,3,GG-01-EC-CPU-0003,000012-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),CPU,CLON,INTEL CORE I7 ,CPU COLOR NEGRO CON FRANJA ROJA CON UNA ETIQUETA DE MICROSOFT B3WXF/033071318322222,GAMEMAX,GAMEMAX,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,1.287,0,,2_bien_19.JPG,0,02-FEB-17,,,,,,,,,,,,,no,0
20,3,GG-01-EC-MON-0003,000013-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MONITOR,PANTALLA LED,"PANTALLA PLANA 21""",MONITOR COLOR NEGRO,SAMSUNG,SAMSUNG,LS22F350FMLXZP,ZZN1H4ZH700368K,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,160.00,0,SIN DIMENSIONES,2_bien_20.JPG,0,02-FEB-17,,,,,,,,,,,,,no,0
21,3,GG-01-EC-TEC-0003,000407-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),TECLADO,ALHAMBRICO,MULTIFUNCION,TECLADO COLOR NEGRO CON PLOMO,QUASAD,QUASAD,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,9.00,0,,2_bien_21.JPG,0,02-FEB-17,,,,,,,,,,,,,no,0
22,3,GG-01-EC-MOU-0003,000408-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MOUSE,ALHAMBRICO,SCROLL ,MOUSE,GENIUS,GENIUS,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,8.50,0,,2_bien_22.JPG,0,02-FEB-17,,,,,,,,,,,,,no,0
23,3,GG-01-EC-SCA-0002,000014-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),SCANNER,DIGITAL,UNA BANDEJA,SCANNER COLOR BLANCO,EPSON,EPSON,DS530,X2HJ038770*,BLANCO,BUENO,ELECTRONICO,ADMINSTRACION,,528.39,0,,2_bien_23.JPG,0,12-SEP-17,,,,,,,,,,,,,no,0
25,3,GG-01-MO-ESC-0001,000015-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ESCRITORIO,ESCRITORIO,SIN PORTA TECLADO Y CON PORTA CPU,ESCRITORIO TIPO L METÁLICO Y MADERA,"COLOR NEGRO Y CAFÉ 3 GAVETAS, TIENE AVERIADO EL PORTA TECLADO",SIN MARCA,SIN MODELO,SIN SERIE,CAFE,REGULAR,METAL,ADMINSTRACION,,250.00,0,L 100CM- AN 60CM- AL,2_bien_25.JPG,0,17-DIC-14,,,,,,,,,,,,,no,0
